date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Dic 2008,69.295552363249,61.945709546467,76.324706051473,85.505807873512,74.554958553400,68.979080881292,56.924882088777,70.410668504704,62.834892481922
Ene 2009,69.456149407474,62.222113306078,76.220947805364,85.226672751233,74.978243600899,69.678315689645,57.433160116420,70.143069277756,63.174217453762
Feb 2009,69.609493681960,62.031590654280,76.877849674310,85.216980559488,76.058577981099,70.196247354965,57.705806589507,70.423196558399,63.473080911344
Mar 2009,70.009950182561,62.705298762170,77.208053281859,85.402424494890,76.705061696390,70.634080915304,57.999668930534,70.686285686016,63.730103484865
Abr 2009,70.254990188749,63.626644627540,77.302697627971,84.837692789170,77.246549588667,71.182861175110,58.048420286649,70.773480939741,63.943905804520
May 2009,70.050358471108,63.847600875796,77.425384743303,83.317310977315,77.705493594925,71.538973020231,57.989738098732,70.734894534357,64.161846233589
Jun 2009,70.179354161469,63.891792125447,77.605559535532,83.325064730712,78.193493049062,71.734347451977,58.192417347766,70.935844515642,64.384844351939
Jul 2009,70.370516449595,64.036455933268,77.503904497115,83.325064730712,78.280659392697,72.004949157995,58.512912374077,71.465029503763,64.597727091725
Ago 2009,70.538884318541,64.190708408466,77.925948173854,83.360602767112,78.494613145255,72.221430522811,58.879901749276,71.527669772244,64.724629113713
Sep 2009,70.892715870818,64.864833414937,78.416696635180,83.364479643810,78.649135299880,72.288539745903,59.002231541009,72.399121187341,64.833599328247
Oct 2009,71.107190633106,64.510052721982,78.597572496640,84.513973584860,78.535554912719,72.322094357450,59.210779008834,72.536428655850,65.049700597576
Nov 2009,71.476045779843,64.320780765929,78.835936034997,86.126754291358,78.470180154994,72.343201290520,59.543913275619,72.592554336408,65.229938251996
Dic 2009,71.771855174205,64.569252320572,78.969840258016,86.306382911714,78.663663023819,72.383791546423,59.969584838734,73.253534449412,65.574320913118
Ene 2010,72.552045976151,65.679870141995,78.886413019591,87.189664652812,79.166850552984,73.238892937442,60.893152196245,73.265561380960,66.218946401627
Feb 2010,72.971670511062,66.067168924316,79.334396257858,87.825472431335,79.500988203583,73.631265411169,61.263301381563,73.454985552844,66.641493351655
Mar 2010,73.489725492434,66.982678209543,79.705962950004,88.117530475942,79.616549644008,73.945704593564,61.772933613542,73.959114433574,66.812994997314
Abr 2010,73.255564640854,66.485735100257,79.994102403726,87.302740223179,79.750600914901,74.274215064671,62.052351108312,73.702539893878,67.100363706529
May 2010,72.793977652452,65.760331568247,80.142729080584,85.640852411836,79.760506181223,74.551852415046,62.327705990072,73.729099367714,67.366582078745
Jun 2010,72.771183233271,65.173338365333,80.293458965134,85.765558612299,79.790882331277,74.580536195884,62.705528999963,74.046309687298,67.506358218907
Jul 2010,72.929190002590,65.203771961790,80.004618442182,85.856665214709,79.627775612506,74.687153268055,63.093734243101,74.621096790873,67.653950787958
